Filename, Package, Minor, Major, Total, Ownership, #Bugs
TestMiniSolrCloudClusterSSL.java,org.apache.solr.cloud,0,2,2,0.50,0
MultiTerms.java,org.apache.lucene.index,0,3,3,0.33,0
MailEntityProcessor.java,org.apache.solr.handler.dataimport,0,5,5,0.50,0
TokenRangeSinkFilter.java,org.apache.lucene.analysis.sinks,0,1,1,1.00,0
RAFDirectory.java,org.apache.lucene.store,0,2,2,0.50,0
InMemorySorter.java,org.apache.lucene.search.suggest,0,1,1,1.00,0
TestAllAnalyzersHaveFactories.java,org.apache.lucene.analysis.core,0,3,3,0.67,1
TestTaxonomyFacetCounts2.java,org.apache.lucene.facet.taxonomy,0,4,4,0.40,0
MultiBits.java,org.apache.lucene.index,0,0,0,0.00,0
CachedOrdinalsReader.java,org.apache.lucene.facet.taxonomy,0,4,4,0.50,0
PayloadHelper.java,org.apache.lucene.analysis.payloads,0,0,0,0.00,0
ClusteringComponentTest.java,org.apache.solr.handler.clustering,0,1,1,1.00,0
LowercaseExpandedTermsQueryNodeProcessor.java,org.apache.lucene.queryparser.flexible.standard.processors,0,0,0,0.00,0
TestLBHttpSolrClient.java,org.apache.solr.client.solrj,0,2,2,0.75,0
TestCompactLabelToOrdinal.java,org.apache.lucene.facet.taxonomy.writercache,0,4,4,0.38,0
BaseFormAttributeImpl.java,org.apache.lucene.analysis.ja.tokenattributes,0,0,0,0.00,0
ShardSearchingTestBase.java,org.apache.lucene.search,0,5,5,0.29,0
EdgeNGramFilterFactory.java,org.apache.lucene.analysis.ngram,0,2,2,0.67,0
CommonGramsFilterFactory.java,org.apache.lucene.analysis.commongrams,0,2,2,0.67,0
FieldType.java,org.apache.lucene.document,0,2,2,0.86,0
DocIdAugmenterFactory.java,org.apache.solr.response.transform,0,0,0,0.00,0
StringMockSolrResourceLoader.java,org.apache.solr.analysis,0,1,1,1.00,0
SortedIntSet.java,org.apache.lucene.util.automaton,0,2,2,0.67,0
TestDocTermOrds.java,org.apache.lucene.uninverting,0,2,2,0.80,1
TestExtendableQueryParser.java,org.apache.lucene.queryparser.ext,0,2,2,0.67,0
PerfRunData.java,org.apache.lucene.benchmark.byTask,0,3,3,0.60,0
BulkOperationPacked1.java,org.apache.lucene.util.packed,0,0,0,0.00,0
LRUHashMap.java,org.apache.lucene.facet.taxonomy,0,0,0,0.00,0
NormValuesWriter.java,org.apache.lucene.index,0,1,1,1.00,0
KStemData2.java,org.apache.lucene.analysis.en,0,0,0,0.00,0
PropertyWriter.java,org.apache.solr.handler.dataimport.config,0,2,2,0.50,0
BlockGroupingCollector.java,org.apache.lucene.search.grouping,0,4,4,0.38,1
NumericRangeFilter.java,org.apache.lucene.search,0,2,2,0.50,0
FinnishAnalyzer.java,org.apache.lucene.analysis.fi,0,3,3,0.60,0
WriteLineDocTaskTest.java,org.apache.lucene.benchmark.byTask.tasks,0,2,2,0.67,0
BasicDistributedZk2Test.java,org.apache.solr.cloud,3,4,7,0.52,1
LuceneQParserPlugin.java,org.apache.solr.search,0,1,1,1.00,0
ReadTokensTask.java,org.apache.lucene.benchmark.byTask.tasks,0,2,2,0.50,0
MaxNonCompetitiveBoostAttributeImpl.java,org.apache.lucene.search,0,0,0,0.00,0
TestBytesRef.java,org.apache.lucene.util,0,2,2,0.50,0
